x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
9685,,6,,,,,,
NAME,,DESCRIPTION,parental,parental2,lm21,lm22,lm23,lm24
202479_s_at,'RRP7A',na,447.3,337.3,432.7,282.9,288.8,350.9
202480_s_at,'ZMPSTE24',na,99,91.9,111.4,85.2,124.4,110
202483_s_at,'NDUFV2',na,3283.7,3743.7,3210.9,3601.2,3677.8,3707.8
202484_s_at,'ETFB',na,947.7,1250.5,909.2,590.1,809.4,552.2
202486_at,'NAGA',na,1157.9,995.7,762.5,764.5,752.8,1067.6
202487_s_at,'FPGS',na,3859.1,3806,2941.3,4011.4,3753.1,3329
202488_s_at,'BTBD3',na,317.1,370.2,389.1,360.9,297.5,465.6
202491_s_at,'FHL2',na,967.2,778.3,1183,1356.7,1446.5,1283.1
202492_at,'CRYZ',na,539.4,592.4,665.1,611,586.5,532.8
202495_at,'STK38',na,865.5,1044.5,1305.6,889.5,1218.8,1019.6
202496_at,'UBE2C',na,306.9,322.9,215.5,240.5,232.3,234.7
202497_x_at,'ARFGEF1',na,511.8,541.5,339.6,403.5,298.4,378.8
202499_s_at,'ARFGEF1',na,127.9,172.2,223.8,200.1,222.3,219.2
202501_at,'HCLS1',na,586.1,592.3,501.7,377,401.8,355.1
202502_at,'PTPN9',na,919.7,778,818.8,962.7,850.1,1476.2
202503_s_at,'MUT',na,6776.1,7151.8,7799.1,7786.8,9146.9,8300.1
202505_at,'MUT',na,2597.1,2351,3476.7,3608.7,3211,3644.9
202506_at,'ATP5J2',na,1040.3,840.8,1144.3,954.9,1015.9,875
202510_s_at,'KIF13B',na,2012.3,1798.6,998.1,862.3,1047.5,630.7
202511_s_at,'RFX5',na,987.7,1032,985.1,1091.9,974,1178.3
202513_s_at,'GSTA4',na,1707.6,1608.2,1366.2,1617,1618.6,1570.2
202514_at,'DYRK2',na,1101.6,989.8,987.9,1196.5,1147,1091.9
202515_at,'FAM13A',na,2739.8,2721.3,2622.2,3068.7,3286.5,2579.8
202516_s_at,'FAM13A',na,323.8,290.5,265.9,240.5,245.3,312.3
202518_at,'MPP1',na,784.1,877.7,579.8,577.8,513.7,665.6
